episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
0,1.0,2.6998195508725336,0.6805181647870986,0.4616948861692526,0.0,2.8,2,1.0,False,True,-2.0325632781553793,116,17.709159380834848,1605233309.576527,in_progress
0,2.0,2.7030229881205567,0.6805421186677731,0.4516778180674799,0.0,2.8,2,1.0,False,True,-2.014474226643941,116,17.709159380834848,1605233309.5934317,in_progress
0,3.0,2.70502533799263,0.6805780536820791,0.4570207871431068,0.0,2.8,2,1.0,False,True,-2.003165574814574,116,17.709159380834848,1605233309.6509047,in_progress
0,4.0,2.7214897524437824,0.6824811813324118,0.8633893148815173,0.0,2.8,2,1.0,False,True,-1.9100372986204661,116,17.709159380834848,1605233309.7172985,in_progress
0,5.0,2.7541568503709812,0.6847076807742901,1.3007624900913461,0.0,2.8,2,1.0,False,True,-1.7253983989909045,116,17.709159380834848,1605233309.7856438,in_progress
0,6.0,2.8078746613751484,0.6869660640654689,1.559842070238546,0.0,2.8,2,1.0,False,True,-1.4222047699834803,116,17.709159380834848,1605233309.8503146,in_progress
0,7.0,2.8633167913526267,0.6894216344374595,1.6870614752177218,0.0,2.8,2,1.0,False,True,-1.109136979014508,117,17.709159380834848,1605233309.9189913,in_progress
0,8.0,2.952348223811439,0.6943745545431775,2.1140841066520766,0.0,2.8,2,1.0,False,True,-0.6066162240458084,117,17.709159380834848,1605233309.9857957,in_progress
0,9.0,3.0456259737133213,0.7008679176802095,2.7459278503601054,0.0,2.8,2,1.0,False,True,-0.08003077236361378,118,17.709159380834848,1605233310.0528715,in_progress
0,10.0,3.151865461640971,0.7086371716844306,3.320964323610286,0.0,2.8,2,1.0,False,True,0.5207168974911464,1,17.709159380834848,1605233310.1192968,in_progress
0,11.0,3.266470272976571,0.7170957171149548,3.7362610007374006,0.0,2.8,2,1.0,False,True,1.1676978229012196,1,17.709159380834848,1605233310.18941,in_progress
0,12.0,3.430440270147447,0.7308329733063446,4.2545613555841655,0.0,2.8,2,1.0,False,True,2.0933784963243034,2,17.709159380834848,1605233310.2576728,in_progress
0,13.0,3.578745175406316,0.743755690384887,4.548969749864713,0.0,2.8,2,1.0,False,True,2.930892834352722,3,17.709159380834848,1605233310.324588,in_progress
0,14.0,3.7349626468850197,0.7575019418749428,4.667460417056922,0.0,2.8,2,1.0,False,True,3.813042426960448,5,17.709159380834848,1605233310.3895266,in_progress
0,15.0,3.916353233454979,0.772833315655952,4.697361062954256,0.0,2.8,2,0.5,False,True,4.837337200507106,6,17.709159380834848,1605233310.4577858,in_progress
0,16.0,4.063564249087025,0.7865889058909735,5.04948158370023,0.0,2.8,2,0.5,False,True,5.668634425588294,7,17.709159380834848,1605233310.5241141,in_progress
0,17.0,4.250429646080207,0.8050356776606291,5.365809680375062,-15.0,1.4,11,0.5,False,True,6.723865519509989,8,17.709159380834848,1605233310.5898495,in_progress
0,18.0,4.411524270539024,0.8145547015983515,4.213793699644377,-15.0,1.4,11,0.5,False,True,7.6335542582109825,9,17.709159380834848,1605233310.657788,in_progress
0,19.0,4.567408555375925,0.8140549538968118,1.8239734662388833,-15.0,1.4,11,0.5,False,True,8.513808647998781,10,17.709159380834848,1605233310.7235227,in_progress
0,20.0,4.731328340533848,0.8038596581586076,-1.276987031154364,-10.0,2.0,8,0.5,False,True,9.439420514508743,11,17.709159380834848,1605233310.792294,in_progress
0,21.0,4.855667786020678,0.7879681064640429,-4.005267201418719,0.0,2.8,2,0.5,False,True,10.1415053544645,12,17.709159380834848,1605233310.8585918,in_progress
0,22.0,5.006071949924595,0.7675408776408393,-5.92884921272877,-5.0,2.5,5,0.5,False,True,10.990764436956997,13,17.709159380834848,1605233310.9231718,in_progress
0,23.0,5.124069928625599,0.7456165301321956,-7.920562586031244,0.0,2.8,2,1.0,False,True,11.657013983670229,14,17.709159380834848,1605233310.9921246,in_progress
0,24.0,5.287000039270531,0.7101269903119498,-10.391148026533028,5.0,2.5,4,1.0,False,True,12.576968906319653,15,17.709159380834848,1605233311.0583384,in_progress
0,25.0,5.463199709807203,0.672162939013704,-11.388183000320518,10.0,2.2,6,1.0,False,True,13.571789080650124,16,17.709159380834848,1605233311.1259766,in_progress
0,26.0,5.601689960052034,0.6531187153126737,-9.625920843480237,15.0,1.4,10,1.0,False,True,14.353656817927266,17,17.709159380834848,1605233311.1919732,in_progress
0,27.0,5.76851232651801,0.645204894564807,-5.664522408534586,10.0,2.2,6,1.0,False,True,15.296945871220514,18,17.709159380834848,1605233311.2581782,in_progress
0,28.0,5.909228183948456,0.6470728053451896,-2.566192620499272,15.0,1.4,10,1.0,False,True,16.09225421051005,19,17.709159380834848,1605233311.324075,in_progress
0,29.0,6.02472997259653,0.6564645251544203,0.48756915786355004,15.0,1.4,10,1.0,False,True,16.744002660877474,20,17.709159380834848,1605233311.3919947,in_progress
0,30.0,6.15007890234845,0.6795997191925294,5.240485985715206,15.0,1.4,10,1.0,False,True,17.45002311687119,21,17.709159380834848,1605233311.4598298,in_progress
0,31.0,6.268179084037957,0.7173155634628895,10.920800842456512,20.0,1.4,12,1.0,False,True,18.131055579708132,21,17.709159380834848,1605233311.524909,in_progress
0,32.0,6.349337973266957,0.7540653183025205,15.481992521726223,15.0,1.8,9,1.0,False,True,18.62165174747262,22,17.709159380834848,1605233311.5911484,in_progress
0,33.0,6.442296442259708,0.8060127685151823,20.857634996405427,15.0,1.8,9,0.5,False,True,19.18145829244085,23,17.709159380834848,1605233311.6587522,in_progress
